Wavelength(nm)	T%
956.5		95.85942078
956		95.8989563
955.5		95.94471741
955		95.99459076
954.5		96.04101563
954		96.06858826
953.5		96.08283997
953		96.0968399
952.5		96.13220215
952		96.16809082
951.5		96.20340729
951		96.21606445
950.5		96.20915985
950		96.23455811
949.5		96.25776672
949		96.26934814
948.5		96.28868103
948		96.30123138
947.5		96.3004303
947		96.29688263
946.5		96.295578
946		96.30066681
945.5		96.30880737
945		96.30773926
944.5		96.29325867
944		96.30983734
943.5		96.28408051
943		96.26384735
942.5		96.24137115
942		96.24637604
941.5		96.24843597
941		96.23833466
940.5		96.21221161
940		96.18709564
939.5		96.16564178
939		96.1280899
938.5		96.13498688
938		96.12627411
937.5		96.11650848
937		96.09602356
936.5		96.08057404
936		96.04027557
935.5		96.02202606
935		96.00939178
934.5		95.96930695
934		95.94084167
933.5		95.93279266
933		95.91356659
932.5		95.90267181
932		95.88439178
931.5		95.87438202
931		95.85858917
930.5		95.83292389
930		95.81776428
929.5		95.81741333
929		95.79714966
928.5		95.79341888
928		95.78061676
927.5		95.7866745
927		95.77716064
926.5		95.7575531
926		95.76725769
925.5		95.7552948
925		95.75991058
924.5		95.74999237
924		95.76139832
923.5		95.75128174
923		95.78700256
922.5		95.77684021
922		95.7930069
921.5		95.79267883
921		95.80523682
920.5		95.80634308
920		95.8221283
919.5		95.83261108
919		95.84350586
918.5		95.85694885
918		95.87798309
917.5		95.89220428
917		95.92626953
916.5		95.93399811
916		95.95641327
915.5		95.96779633
915		95.99066162
914.5		95.99205017
914		96.0239563
913.5		96.03349304
913		96.06089783
912.5		96.08604431
912		96.10632324
911.5		96.13648987
911		96.14768982
910.5		96.1727829
910		96.18421173
909.5		96.21234131
909		96.22212982
908.5		96.24056244
908		96.26725006
907.5		96.27055359
907		96.29668427
906.5		96.30853271
906		96.33153534
905.5		96.33215332
905		96.36419678
904.5		96.36818695
904		96.39317322
903.5		96.39144897
903		96.40898895
902.5		96.40984344
902		96.43061066
901.5		96.42356873
901		96.44724274
900.5		96.44080353
900		96.45431519
899.5		96.32649231
899		96.28878021
898.5		96.3339386
898		96.2064209
897.5		96.29367065
897		96.37477112
896.5		96.20207214
896		96.31653595
895.5		96.19232941
895		96.23150635
894.5		96.24954987
894		96.32050323
893.5		96.2813797
893		96.25844574
892.5		96.31902313
892		96.36520386
891.5		96.32640076
891		96.26763916
890.5		96.37301636
890		96.29167938
889.5		96.16201782
889		96.27005768
888.5		96.25225067
888		96.29621124
887.5		96.24809265
887		96.28245544
886.5		96.28575897
886		96.36553192
885.5		96.28775787
885		96.14595032
884.5		96.25531769
884		96.32621002
883.5		96.25226593
883		96.256073
882.5		96.2033844
882		96.23022461
881.5		96.25735474
881		96.24584198
880.5		96.20716858
880		96.34129333
879.5		96.30937958
879		96.17547607
878.5		96.22859955
878		96.24983215
877.5		96.15019226
877		96.25679016
876.5		96.18344116
876		96.16928864
875.5		96.18418884
875		96.13722229
874.5		96.19258118
874		96.19632721
873.5		96.2290802
873		96.13116455
872.5		96.14875031
872		96.10481262
871.5		96.06560516
871		96.06986237
870.5		96.03144836
870		96.08246613
869.5		96.06713867
869		96.09374237
868.5		96.05262756
868		96.06589508
867.5		96.03038788
867		96.00287628
866.5		95.98313141
866		96.03326416
865.5		95.96630096
865		96.08348846
864.5		96.06515503
864		96.00688934
863.5		96.02191162
863		96.04470825
862.5		96.02570343
862		96.06422424
861.5		96.05194855
861		96.06591797
860.5		95.98487854
860		96.04767609
859.5		96.06148529
859		96.05927277
858.5		96.0712738
858		96.04780579
857.5		96.07537842
857		96.05387115
856.5		96.0605011
856		96.08856964
855.5		96.10035706
855		96.10913849
854.5		96.12160492
854		96.08042145
853.5		96.12501526
853		96.08669281
852.5		96.08583069
852		96.06143188
851.5		96.06561279
851		96.04393768
850.5		96.0296402
850		95.93071747
849.5		95.89806366
849		95.86586761
848.5		95.78223419
848		95.63950348
847.5		95.49357605
847		95.36180115
846.5		95.15526581
846		94.88418579
845.5		94.54933167
845		94.17666626
844.5		93.69181824
844		93.08053589
843.5		92.35756683
843		91.49888611
842.5		90.48860931
842		89.26248169
841.5		87.80082703
841		86.18309784
840.5		84.2604599
840		82.04045868
839.5		79.6122818
839		76.90000916
838.5		73.86087036
838		70.63845062
837.5		67.19345093
837		63.48508453
836.5		59.64987946
836		55.80213547
835.5		51.83501434
835		47.90065765
834.5		44.00521851
834		40.19068909
833.5		36.50215149
833		33.05655289
832.5		29.80955505
832		26.7135849
831.5		23.91108704
831		21.36533928
830.5		18.98122406
830		16.83453178
829.5		14.94559193
829		13.22380447
828.5		11.69903946
828		10.35367107
827.5		9.141364098
827		8.0567379
826.5		7.117208958
826		6.296756268
825.5		5.554759502
825		4.912353039
824.5		4.348948956
824		3.846115351
823.5		3.403288126
823		3.01902771
822.5		2.67778635
822		2.375666142
821.5		2.11346817
821		1.8804636
820.5		1.670209646
820		1.486906648
819.5		1.32755661
819		1.184254885
818.5		1.058456182
818		0.948199749
817.5		0.848672152
817		0.76078254
816.5		0.681832194
816		0.613486886
815.5		0.552894473
815		0.498065352
814.5		0.448715746
814		0.403990775
813.5		0.364631057
813		0.329275936
812.5		0.297799081
812		0.269420832
811.5		0.243878692
811		0.221165031
810.5		0.200366765
810		0.181716815
809.5		0.165126756
809		0.149881229
808.5		0.136696294
808		0.124424629
807.5		0.113035426
807		0.103029281
806.5		0.094281279
806		0.086120002
805.5		0.078378297
805		0.072081722
804.5		0.065705888
804		0.060319867
803.5		0.05531422
803		0.050463267
802.5		0.046354212
802		0.042404968
801.5		0.039040096
801		0.035983805
800.5		0.032957345
800		0.030470403
799.5		0.027900334
799		0.025926115
798.5		0.023798356
798		0.021928607
797.5		0.020340206
797		0.018769534
796.5		0.017454552
796		0.01606098
795.5		0.014646043
795		0.013730693
794.5		0.012648284
794		0.011943672
793.5		0.010948785
793		0.010227495
792.5		0.009686684
792		0.008860309
791.5		0.008122439
791		0.007554459
790.5		0.006990291
790		0.006633256
789.5		0.006015291
789		0.005653347
788.5		0.005291387
788		0.005038089
787.5		0.004561987
787		0.004355879
786.5		0.004044538
786		0.003910745
785.5		0.003623925
785		0.003502056
784.5		0.003128389
784		0.003094175
783.5		0.002722448
783		0.002505211
782.5		0.002569071
782		0.002345938
781.5		0.002045813
781		0.002056616
780.5		0.001979311
780		0.001908084
779.5		0.001645165
779		0.001527948
778.5		0.001466043
778		0.001574152
777.5		0.00144705
777		0.001203051
776.5		0.001286023
776		0.001211072
775.5		0.000988855
775		0.001054863
774.5		0.00112339
774		0.000916349
773.5		0.000857496
773		0.000856432
772.5		0.000907989
772		0.000713552
771.5		0.000814963
771		0.00065611
770.5		0.000636808
770		0.000642136
769.5		0.00061747
769		0.000577022
768.5		0.00054767
768		0.000615172
767.5		0.000527514
767		0.000483133
766.5		0.000331583
766		0.000279707
765.5		0.00022361
765		0.000289534
764.5		0.000289729
764		0.000462623
763.5		0.000354948
763		0.000303348
762.5		0.000163871
762		0.000337505
761.5		0.000246522
761		0.000426199
760.5		0.000368496
760		0.000273458
759.5		0.000231095
759		0.000226639
758.5		0.00025959
758		0.000336652
757.5		0.000359736
757		0.000212441
756.5		0.00022891
756		0.000115573
755.5		0.000167866
755		0.00028545
754.5		0.000241032
754		0.000265872
753.5		4.64E-05
753		0.000177715
752.5		0.000256863
752		0.00014476
751.5		0.000129657
751		0.000255031
750.5		3.04E-05
750		0.000223197
749.5		8.54E-05
749		0.000168769
748.5		-1.59E-06
748		0.000160207
747.5		0.000119326
747		0.000234283
746.5		3.56E-05
746		2.25E-05
745.5		0.000101472
745		0.000247692
744.5		8.41E-05
744		0.000109884
743.5		9.37E-05
743		0.000101311
742.5		0.00016485
742		0.000152653
741.5		0.00019258
741		0.00014879
740.5		-5.17E-05
740		0.000127346
739.5		-5.42E-05
739		0.000157951
738.5		-9.47E-06
738		0.00024333
737.5		8.70E-05
737		0.000131269
736.5		0.000136844
736		2.86E-05
735.5		5.30E-05
735		0.000209023
734.5		-0.000154077
734		7.52E-05
733.5		0.000183033
733		-2.70E-05
732.5		3.34E-05
732		0.000234365
731.5		0.000247395
731		0.000266781
730.5		0.000242954
730		8.74E-05
729.5		5.85E-05
729		0.00019669
728.5		0.00020193
728		0.000129314
727.5		0.000123191
727		0.000302944
726.5		8.65E-05
726		0.000160681
725.5		0.000119502
725		8.71E-05
724.5		5.54E-05
724		0.000133125
723.5		0.000103228
723		-0.000112832
722.5		2.75E-05
722		2.71E-05
721.5		4.84E-05
721		0.000149576
720.5		7.55E-05
720		-2.41E-05
719.5		9.87E-05
719		0.000100403
718.5		0.000203789
718		0.000133728
717.5		0.000129853
717		9.32E-05
716.5		-1.04E-05
716		0.000238084
715.5		0.000242559
715		0.000167454
714.5		1.57E-06
714		0.000205187
713.5		0.000284979
713		8.61E-05
712.5		7.80E-05
712		0.000237486
711.5		0.000203242
711		6.57E-05
710.5		8.52E-05
710		3.14E-05
709.5		0.000164906
709		8.52E-05
708.5		2.75E-05
708		3.74E-05
707.5		0.000197697
707		-4.79E-06
706.5		0.000185588
706		6.15E-05
705.5		3.27E-05
705		3.52E-05
704.5		0.00016336
704		9.22E-05
703.5		-1.01E-05
703		0.000189034
702.5		0.000222861
702		0.000172892
701.5		8.74E-05
701		0.0001002
700.5		-5.84E-05
700		-5.89E-05
699.5		1.86E-06
699		-3.06E-05
698.5		-1.61E-05
698		-4.20E-05
697.5		-1.12E-05
697		-3.62E-05
696.5		1.23E-05
696		4.62E-06
695.5		0.000137503
695		5.15E-05
694.5		0.000105914
694		-3.99E-05
693.5		-6.21E-05
693		0.000206739
692.5		-0.000150496
692		0.000253946
691.5		2.18E-05
691		0.000179755
690.5		-1.61E-05
690		0.000120872
689.5		0.000268856
689		0.000154777
688.5		0.000117351
688		-4.53E-05
687.5		0.000131363
687		0.000215672
686.5		-5.61E-05
686		5.67E-05
685.5		1.48E-06
685		0.000164157
684.5		0.000110516
684		0.000157092
683.5		6.60E-05
683		0.000211957
682.5		-3.83E-05
682		4.54E-06
681.5		8.94E-05
681		0.000100473
680.5		8.84E-05
680		-1.43E-05
679.5		-1.73E-05
679		-2.51E-05
678.5		0.000153664
678		4.31E-05
677.5		-5.29E-05
677		0.000292814
676.5		-0.000125378
676		0.000107366
675.5		4.84E-05
675		0.000228674
674.5		2.33E-05
674		-3.24E-06
673.5		2.72E-05
673		4.22E-05
672.5		5.26E-05
672		-2.39E-05
671.5		0.000193793
671		3.36E-05
670.5		4.60E-05
670		0.000112882
669.5		5.06E-06
669		-2.95E-05
668.5		9.06E-05
668		4.49E-06
667.5		7.26E-05
667		-4.18E-05
666.5		-6.13E-05
666		0.000117214
665.5		-4.67E-05
665		0.000191024
664.5		3.17E-05
664		4.27E-05
663.5		5.07E-05
663		3.54E-05
662.5		0.000111681
662		-1.17E-05
661.5		4.09E-05
661		-0.000111912
660.5		7.90E-05
660		0.000209894
659.5		-4.98E-05
659		0.000156726
658.5		-4.57E-05
658		6.82E-05
657.5		9.66E-05
657		2.64E-05
656.5		0.000132135
656		4.39E-05
655.5		6.29E-05
655		-0.000152575
654.5		0.000130344
654		-3.85E-05
653.5		0.00012756
653		7.10E-05
652.5		5.56E-06
652		0.000139324
651.5		-2.14E-05
651		-1.08E-05
650.5		9.53E-05
650		6.61E-05
649.5		1.95E-05
649		1.59E-05
648.5		0.000130048
648		-5.99E-05
647.5		-9.93E-06
647		0.000141473
646.5		-0.000100798
646		-0.00010575
645.5		6.27E-05
645		-5.97E-05
644.5		-1.32E-05
644		2.74E-05
643.5		0.000145678
643		0.000146632
642.5		-3.98E-05
642		-6.96E-05
641.5		-7.67E-05
641		-9.81E-06
640.5		-0.00014383
640		-0.000107942
639.5		-3.84E-05
639		3.19E-05
638.5		-5.73E-05
638		6.18E-05
637.5		9.05E-05
637		3.93E-05
636.5		-3.98E-05
636		-1.19E-06
635.5		2.53E-05
635		0.000154631
634.5		-8.08E-05
634		0.000116669
633.5		3.92E-05
633		0.000110823
632.5		1.07E-05
632		0.000101217
631.5		0.000119225
631		8.78E-05
630.5		0.000129127
630		5.51E-05
629.5		4.09E-05
629		-1.85E-05
628.5		-6.22E-06
628		-3.17E-05
627.5		9.40E-05
627		2.85E-05
626.5		-8.47E-06
626		5.63E-05
625.5		-3.86E-05
625		-5.62E-06
624.5		4.83E-05
624		0.000171214
623.5		0.000191807
623		7.58E-05
622.5		-4.84E-05
622		-2.48E-06
621.5		-9.45E-05
621		0.000164356
620.5		0.00013278
620		0.000164114
619.5		4.90E-05
619		0.000174286
618.5		-1.94E-05
618		9.22E-05
617.5		5.14E-05
617		1.74E-05
616.5		-9.11E-06
616		-5.13E-05
615.5		1.91E-05
615		5.20E-05
614.5		0.000184494
614		4.17E-05
613.5		-4.60E-05
613		4.63E-05
612.5		-1.37E-05
612		2.12E-05
611.5		5.90E-05
611		1.76E-05
610.5		-2.70E-05
610		7.33E-06
609.5		-3.22E-05
609		-1.97E-05
608.5		0.000176887
608		0.00011392
607.5		0.000112703
607		-1.14E-05
606.5		5.26E-05
606		7.40E-05
605.5		0.000136007
605		0.000121748
604.5		0.000139878
604		3.63E-05
603.5		9.05E-05
603		0.00011971
602.5		8.33E-05
602		4.99E-05
601.5		0.000120749
601		5.70E-05
600.5		3.68E-05
600		-6.73E-05
599.5		2.77E-05
599		7.88E-05
598.5		0.000255221
598		-1.04E-05
597.5		6.48E-05
597		8.06E-06
596.5		0.00014504
596		2.68E-05
595.5		3.96E-05
595		-7.30E-05
594.5		4.61E-05
594		3.46E-05
593.5		-5.66E-05
593		-4.22E-05
592.5		4.49E-05
592		0.000168736
591.5		5.55E-05
591		0.000167175
590.5		2.31E-05
590		4.00E-05
589.5		-6.49E-05
589		6.56E-05
588.5		0.000100516
588		6.73E-05
587.5		-0.000105775
587		-0.000108265
586.5		1.70E-05
586		5.33E-06
585.5		0.000105491
585		-4.69E-05
584.5		-8.48E-05
584		4.67E-06
583.5		0.00016476
583		0.000173522
582.5		8.02E-05
582		4.64E-05
581.5		3.70E-06
581		-7.92E-05
580.5		0.000173274
580		2.08E-05
579.5		7.96E-05
579		0.000184089
578.5		0.000220909
578		-3.61E-05
577.5		8.44E-06
577		0.0002884
576.5		0.000172007
576		-3.05E-05
575.5		0.000109747
575		0.000224459
574.5		7.36E-05
574		4.86E-06
573.5		3.58E-06
573		-5.30E-05
572.5		2.06E-05
572		-0.000124566
571.5		2.10E-05
