Wavelength(nm)	T%
939		0.000110931
938.5		0.000428885
938		0.000633244
937.5		0.000619122
937		0.000163896
936.5		-0.000391681
936		0.000512655
935.5		0.00019543
935		-0.000658212
934.5		0.000520586
934		0.000285179
933.5		-5.16E-05
933		-6.93E-05
932.5		-0.000304702
932		-0.000457575
931.5		8.44E-05
931		8.10E-05
930.5		-0.000202764
930		-0.000401245
929.5		-0.000203784
929		-0.000624779
928.5		-0.000419279
928		-0.000351499
927.5		5.34E-05
927		-0.000190887
926.5		-0.000358922
926		-0.000112486
925.5		-2.33E-05
925		-0.000319122
924.5		-0.000243651
924		-0.000309545
923.5		-0.000138385
923		-4.34E-05
922.5		-0.000428577
922		-0.000547974
921.5		-0.000381395
921		-0.000248854
920.5		-7.20E-05
920		1.52E-05
919.5		-0.000623127
919		-0.000839123
918.5		0.000131565
918		-1.16E-06
917.5		-0.000426169
917		-0.000262348
916.5		-0.000392576
916		8.42E-05
915.5		-0.000228015
915		0.000239526
914.5		-0.000480337
914		-0.000293016
913.5		-0.000893264
913		-0.000642515
912.5		-0.000220691
912		-0.000779048
911.5		-0.00033089
911		-0.000494619
910.5		-0.00033333
910		-0.000149482
909.5		-0.000548373
909		-0.000451718
908.5		2.54E-05
908		0.000305417
907.5		-0.000218918
907		-0.000843681
906.5		-0.000611728
906		-0.000271757
905.5		-0.000202953
905		-0.000734644
904.5		-0.000448851
904		9.11E-05
903.5		-0.000669682
903		0.000115844
902.5		0.000316067
902		-0.000442463
901.5		-0.000138794
901		-0.000232589
900.5		-0.000198779
900		4.92E-05
899.5		0.000729919
899		0.000959921
898.5		0.001632068
898		0.000602328
897.5		0.001723994
897		0.001583897
896.5		0.001887583
896		0.002457698
895.5		0.0017743
895		0.001711263
894.5		0.001627715
894		0.002252716
893.5		0.002436829
893		0.001853748
892.5		0.001882489
892		0.002343152
891.5		0.001955273
891		0.002333746
890.5		0.002200816
890		0.00210624
889.5		0.001941835
889		0.002199618
888.5		0.002533979
888		0.002535753
887.5		0.002286516
887		0.002591432
886.5		0.002066404
886		0.002294556
885.5		0.002129007
885		0.002828472
884.5		0.002796428
884		0.002350272
883.5		0.002898273
883		0.00250305
882.5		0.002943632
882		0.003484058
881.5		0.002888943
881		0.002932795
880.5		0.003304616
880		0.003479622
879.5		0.003691199
879		0.003909705
878.5		0.003536482
878		0.003912111
877.5		0.004047923
877		0.00421278
876.5		0.004250129
876		0.003661974
875.5		0.004420858
875		0.004302594
874.5		0.00444184
874		0.004095814
873.5		0.004852923
873		0.004668451
872.5		0.004676238
872		0.004839709
871.5		0.005182036
871		0.005280734
870.5		0.004969242
870		0.005462122
