Wavelength(nm)	T%
572.5		88.49662781
572		88.16616821
571.5		87.81879425
571		87.44578552
570.5		87.06246948
570		86.66123962
569.5		86.23019409
569		85.75010681
568.5		85.24769592
568		84.71694183
567.5		84.15174866
567		83.55863953
566.5		82.92887878
566		82.25579071
565.5		81.55928802
565		80.81835175
564.5		80.03089142
564		79.21882629
563.5		78.3416214
563		77.43173218
562.5		76.4835968
562		75.47113037
561.5		74.41061401
561		73.31425476
560.5		72.14784241
560		70.92311859
559.5		69.65055847
559		68.35189819
558.5		66.9418335
558		65.49755096
557.5		64.01286316
557		62.43048859
556.5		60.78995514
556		59.13449097
555.5		57.40924072
555		55.63728714
554.5		53.81070328
554		51.93612671
553.5		49.98747253
553		48.03420258
552.5		46.06523514
552		44.00879288
551.5		41.96541977
551		39.92740631
550.5		37.83395004
550		35.74329758
549.5		33.68925095
549		31.64124107
548.5		29.6225338
548		27.64507866
547.5		25.69328499
547		23.77022171
546.5		21.9362278
546		20.16831398
545.5		18.42851257
545		16.78777313
544.5		15.23096561
544		13.73581409
543.5		12.33596325
543		11.05380535
542.5		9.842761993
542		8.725606918
541.5		7.700848579
541		6.751873493
540.5		5.886272907
540		5.112154484
539.5		4.419952869
539		3.787011623
538.5		3.236374378
538		2.755627871
537.5		2.320432425
537		1.946904182
536.5		1.629631996
536		1.350732088
535.5		1.115072966
535		0.915477037
534.5		0.745833397
534		0.604081929
533.5		0.487696111
533		0.392074615
532.5		0.311900437
532		0.248053923
531.5		0.196478546
531		0.15406166
530.5		0.120527357
530		0.094243549
529.5		0.073361382
529		0.056929421
528.5		0.044379137
528		0.034392092
527.5		0.026969204
527		0.021131594
526.5		0.016592387
526		0.013475439
525.5		0.010978059
525		0.009240551
524.5		0.007732646
524		0.006787165
523.5		0.005942803
523		0.005367653
522.5		0.005056128
522		0.004820495
521.5		0.004708756
521		0.00452231
520.5		0.00444901
520		0.004210486
519.5		0.004155126
519		0.00447979
518.5		0.004327483
518		0.004471624
517.5		0.004552923
517		0.004385336
516.5		0.004486009
516		0.00436202
515.5		0.004513165
515		0.004577215
514.5		0.004406516
514		0.004470664
513.5		0.00458495
513		0.004610744
512.5		0.004400174
512		0.004590234
511.5		0.004837278
511		0.004501736
510.5		0.004579603
510		0.004640217
509.5		0.004773875
509		0.004789089
508.5		0.004876341
508		0.004901656
507.5		0.004831097
507		0.004940652
506.5		0.004748595
506		0.004755473
505.5		0.004947695
505		0.004989736
504.5		0.005124471
504		0.004967991
503.5		0.005092971
503		0.004678188
502.5		0.005000015
502		0.005082103
501.5		0.005016968
501		0.00534622
500.5		0.005133342
500		0.004985434
499.5		0.004977717
499		0.004924179
498.5		0.004881576
498		0.004899641
497.5		0.005030785
497		0.005050559
496.5		0.005016757
496		0.005073402
495.5		0.005177005
495		0.00506161
494.5		0.005137021
494		0.005195575
493.5		0.005266922
493		0.005160308
492.5		0.005094324
492		0.005291964
491.5		0.005434531
491		0.005198542
490.5		0.005384303
490		0.005492452
489.5		0.005637716
489		0.005520531
488.5		0.005673917
488		0.00524099
487.5		0.005598138
487		0.005629011
486.5		0.005511102
486		0.005673273
485.5		0.005622919
485		0.005484988
484.5		0.005470584
484		0.005765778
483.5		0.005391006
483		0.005530029
482.5		0.005660431
482		0.005284579
481.5		0.00526884
481		0.005455081
480.5		0.005229093
480		0.005164504
479.5		0.00535758
479		0.005221928
478.5		0.00527225
478		0.005036765
477.5		0.005243535
477		0.005011384
476.5		0.004930475
476		0.004983229
475.5		0.004515097
475		0.004917486
474.5		0.004763714
474		0.004639435
473.5		0.004815198
473		0.00474909
472.5		0.004789079
472		0.004623152
471.5		0.004648153
471		0.004941831
470.5		0.004702651
470		0.004804922
469.5		0.004792386
469		0.004943573
468.5		0.004645905
468		0.004893218
467.5		0.0048528
467		0.004724336
466.5		0.004493643
466		0.004801563
465.5		0.004664091
465		0.004785589
464.5		0.004504626
464		0.004902326
463.5		0.004619473
463		0.004668401
462.5		0.004496625
462		0.004247294
461.5		0.00406631
461		0.003964634
460.5		0.004006012
460		0.003981124
459.5		0.003847252
459		0.003800041
458.5		0.003907794
458		0.003615916
457.5		0.003619976
457		0.00360699
456.5		0.003570076
456		0.003572381
455.5		0.003402106
455		0.003349678
454.5		0.003584775
454		0.003571607
453.5		0.003569049
453		0.003593106
452.5		0.00363531
452		0.003623679
451.5		0.003924127
451		0.003836464
450.5		0.003938429
450		0.00399216
449.5		0.004015112
449		0.003956124
448.5		0.004005335
448		0.004021371
447.5		0.003743388
447		0.003826778
446.5		0.003805616
446		0.003872486
445.5		0.003685164
445		0.003655733
444.5		0.003586365
444		0.003654624
443.5		0.003417109
443		0.003364534
442.5		0.003342004
442		0.003130234
441.5		0.003236027
441		0.00316068
440.5		0.003006134
440		0.003059549
439.5		0.002996964
439		0.002767237
438.5		0.002641579
438		0.002647592
437.5		0.002570197
437		0.002363893
