Wavelength(nm)	T%
941.5		-0.000463218
941		-0.000985741
940.5		-0.000782415
940		-0.000448814
939.5		-0.000762124
939		-0.000643739
938.5		-0.00045291
938		-0.000733659
937.5		-0.000970109
937		-0.000510391
936.5		-0.000692011
936		-0.001297009
935.5		-0.001142618
935		-0.000715091
934.5		-0.000874135
934		-0.000136625
933.5		-0.000875248
933		-0.001143873
932.5		-0.00101317
932		-0.001562356
931.5		-0.001156327
931		-0.000796425
930.5		-0.001129229
930		-0.001002456
929.5		-0.001137296
929		-0.000615566
928.5		-0.000588338
928		-0.001038919
927.5		-0.001089319
927		-0.001316744
926.5		-0.001578976
926		-0.000765568
925.5		-0.000905363
925		-0.000910327
924.5		-0.001489311
924		-0.000309782
923.5		-0.000813806
923		-0.001414846
922.5		-0.000651317
922		-0.000721717
921.5		-0.001380514
921		-0.001426487
920.5		-0.001017075
920		-0.000740808
919.5		-0.000971105
919		-0.000278278
918.5		-0.001120146
918		-0.00114486
917.5		-0.000639968
917		-0.00068749
916.5		-0.00104996
916		-0.00097552
915.5		-0.000442102
915		-0.000498542
914.5		-0.000802874
914		-0.001162803
913.5		-0.00121053
913		-0.001255051
912.5		-0.000804595
912		-0.000589009
911.5		-0.001535408
911		-0.001294087
910.5		-0.001007435
910		-0.000876198
909.5		-0.001251478
909		-0.000691594
908.5		-0.001327866
908		-0.00133255
907.5		-0.001513054
907		-0.001446542
906.5		-0.001683266
906		-0.001596874
905.5		-0.000831597
905		-0.001717374
904.5		-0.0005956
904		-0.001537543
903.5		-0.001219933
903		-0.000927928
902.5		-0.0013477
902		-0.001111623
901.5		-0.00142458
901		-0.001283307
900.5		-0.001474839
900		-0.001252181
899.5		-0.000927887
899		9.17E-05
898.5		6.50E-05
898		0.000349212
897.5		0.000799703
897		0.000527991
896.5		0.000293003
896		0.000163242
895.5		0.000164942
895		0.000187891
894.5		0.00015313
894		-0.000108814
893.5		0.000501213
893		0.00015405
892.5		-3.46E-05
892		0.000115568
891.5		0.000441384
891		0.00055809
890.5		0.00018259
890		-1.43E-05
889.5		0.000306233
889		-0.000199151
888.5		6.57E-05
888		0.000514492
887.5		4.30E-05
887		0.000300033
886.5		0.000140103
886		0.000237869
885.5		0.000185682
885		-0.000165459
884.5		0.000781932
884		0.000133629
883.5		0.000653451
883		1.40E-05
882.5		-4.91E-05
882		0.000579825
881.5		0.000218673
881		0.000300527
880.5		3.86E-05
880		0.000221616
879.5		0.000306047
879		0.000527418
878.5		0.00025869
878		0.000159801
877.5		0.00026667
877		2.70E-05
876.5		0.000283452
876		-6.03E-05
875.5		0.000365019
875		0.000364461
874.5		6.22E-05
874		0.00019075
873.5		0.000358235
873		0.000405855
872.5		7.61E-05
872		2.46E-05
871.5		-8.33E-05
871		0.000445255
870.5		0.000278489
870		0.000323622
869.5		0.00025366
869		0.000230854
868.5		0.000409629
868		0.000307791
867.5		0.000406462
867		0.000415399
866.5		0.000353047
866		0.000265387
865.5		0.000517992
865		0.000154727
864.5		-2.42E-05
864		0.000122369
863.5		0.000321292
863		0.00038473
862.5		-5.14E-05
862		4.10E-05
861.5		1.56E-05
861		-0.000162146
860.5		0.000155093
860		0.000100108
859.5		0.000168518
859		0.000147698
858.5		0.000344142
858		0.000453239
857.5		0.000175556
857		0.000101038
856.5		0.000328562
856		0.00012816
855.5		0.000189552
855		0.000228087
854.5		0.000259077
854		2.86E-05
853.5		0.000176956
853		0.000336189
852.5		0.000235113
852		0.000265452
851.5		-1.34E-05
851		0.000196459
850.5		0.000115678
850		0.000351776
849.5		0.000227366
849		9.98E-05
848.5		0.000126139
848		0.000317785
847.5		-0.00013082
847		-3.62E-05
846.5		0.000301509
846		0.000203957
845.5		0.000229986
845		5.84E-05
844.5		9.68E-05
844		0.000134701
843.5		-3.45E-05
843		0.000229294
842.5		4.72E-05
842		0.000279082
841.5		0.00018352
841		8.55E-05
840.5		0.000242642
840		9.96E-05
839.5		0.000390575
839		0.000157097
838.5		9.61E-05
838		0.000200682
837.5		0.000215088
837		3.08E-05
836.5		0.000136329
836		0.000130334
835.5		-7.45E-06
835		7.15E-05
834.5		0.000132299
834		0.000186627
833.5		0.000176752
833		6.51E-05
832.5		2.21E-05
832		-1.05E-05
831.5		0.000154175
831		6.42E-05
830.5		0.000191458
830		0.000145352
829.5		-4.89E-05
829		0.000166213
828.5		0.000195528
828		0.000142985
827.5		0.000132111
827		0.000179256
826.5		0.000124718
826		0.000251195
825.5		7.48E-05
825		0.000184691
824.5		0.000316239
824		0.000241216
823.5		0.000247141
823		0.000259069
822.5		6.82E-05
822		0.000148471
821.5		0.000136121
821		0.000123249
820.5		0.000131667
820		8.14E-05
819.5		0.000254472
819		0.000247799
818.5		0.000382397
818		-3.17E-05
817.5		4.42E-05
817		1.10E-05
816.5		0.000188644
816		0.000106633
815.5		0.000151181
815		8.02E-05
814.5		0.000185414
814		0.000262179
813.5		8.11E-05
813		1.18E-05
812.5		0.000250328
812		9.22E-05
811.5		0.000117303
811		0.000136292
810.5		8.35E-05
810		0.000245361
809.5		7.04E-05
809		-1.05E-05
808.5		6.91E-05
808		0.00017444
807.5		0.000151979
807		9.37E-05
806.5		0.00035696
806		0.000198315
805.5		0.000211277
805		6.88E-05
804.5		4.67E-05
804		4.61E-05
803.5		-0.000101606
803		7.39E-05
802.5		9.85E-05
802		-1.53E-06
801.5		0.000277581
801		8.00E-05
800.5		0.00011356
800		0.00021531
799.5		-4.88E-05
799		6.84E-06
798.5		5.38E-05
798		5.81E-06
797.5		0.000134844
797		9.32E-05
796.5		0.000139311
796		-0.000293218
795.5		0.000218057
795		0.000121113
794.5		-6.29E-05
794		-5.56E-05
793.5		3.98E-05
793		0.000341196
792.5		1.38E-05
792		0.00047257
791.5		0.000230565
791		2.49E-05
790.5		0.000281158
790		0.000147558
789.5		0.000252566
789		0.00018239
788.5		8.23E-05
788		0.000368755
787.5		0.000405399
787		0.000444584
786.5		0.00036251
786		0.000526269
785.5		0.000407327
785		0.000309022
784.5		0.000514748
784		0.000271563
783.5		0.000195379
783		0.000391033
782.5		0.000260625
782		5.70E-05
781.5		0.000102919
781		0.00016966
780.5		0.000311361
780		0.00018382
779.5		0.000206924
779		0.000192114
778.5		0.000124869
778		0.000146576
777.5		0.000211804
777		0.000218089
776.5		0.000335846
776		0.000377922
775.5		0.000107923
775		8.95E-05
774.5		3.26E-07
774		0.000143438
773.5		0.000156503
773		2.35E-05
772.5		2.15E-05
772		0.000181419
771.5		0.000237525
771		-4.39E-05
770.5		0.000364556
770		-3.51E-05
769.5		-6.78E-05
769		0.000193883
768.5		5.14E-06
768		0.000253812
767.5		0.000414222
767		0.000627185
766.5		0.000578718
766		0.000500108
765.5		0.000478011
765		0.000322793
