Wavelength(nm)	T%
947		-0.001031208
946.5		-0.001076341
946		-0.000648164
945.5		-0.000631662
945		-0.00069894
944.5		-0.000498426
944		-0.001078077
943.5		-0.000844898
943		-0.001088202
942.5		-0.000767206
942		-0.001009994
941.5		-0.001115554
941		-0.000843808
940.5		-0.000569354
940		-0.000812587
939.5		-0.001422405
939		-0.00019557
938.5		-0.000298549
938		-0.000332048
937.5		-0.000744879
937		-0.001026943
936.5		-0.001018258
936		-0.000928393
935.5		-0.000944859
935		-0.001160307
934.5		-0.000490716
934		-0.000322674
933.5		-0.001212436
933		-0.00069791
932.5		-0.000574715
932		-0.000248402
931.5		-0.000393784
931		-0.000809063
930.5		-0.000572309
930		-0.000898184
929.5		-0.001149595
929		-0.000593729
928.5		-0.000957205
928		-9.68E-05
927.5		-0.000979166
927		-0.000160077
926.5		-0.000910729
926		-0.000463203
925.5		-0.000454585
925		-0.001237627
924.5		-0.000217125
924		-0.00013
923.5		-0.000625619
923		-0.000181728
922.5		-1.19E-05
922		-0.000575908
921.5		-0.00060021
921		-0.000403052
920.5		-1.81E-05
920		7.96E-05
919.5		-0.0003214
919		-2.48E-05
918.5		-0.000458436
918		-0.000200053
917.5		-0.000146125
917		2.11E-05
916.5		0.000570465
916		2.27E-05
915.5		2.60E-05
915		1.97E-05
914.5		0.000284338
914		0.000253402
913.5		-0.000187649
913		0.000154359
912.5		0.000623422
912		9.69E-05
911.5		0.000118812
911		0.000438095
910.5		0.000250647
910		0.00101297
909.5		1.82E-05
909		0.000681452
908.5		0.0012448
908		0.000952052
907.5		0.001011054
907		0.001221472
906.5		0.0007181
906		0.001296624
905.5		0.001348045
905		0.001238759
904.5		0.00093032
904		0.001906213
903.5		0.001558155
903		0.001286955
902.5		0.001863669
902		0.001705348
901.5		0.001988865
901		0.002044369
900.5		0.002014791
900		0.001981359
899.5		0.00326233
899		0.004589537
898.5		0.004433541
898		0.00504283
897.5		0.005071929
897		0.005291895
896.5		0.006216838
896		0.005580115
895.5		0.005941414
895		0.006279189
894.5		0.00594754
894		0.006242448
893.5		0.006684701
893		0.006831333
892.5		0.00702591
892		0.007390261
891.5		0.007681177
891		0.007960221
890.5		0.008239488
890		0.008478586
889.5		0.008637229
889		0.009140937
888.5		0.009737127
888		0.010087598
887.5		0.010346369
887		0.011077881
886.5		0.011637852
886		0.01177692
885.5		0.013262125
885		0.013752313
884.5		0.014096848
884		0.014530811
883.5		0.014747854
883		0.016230127
882.5		0.016562153
882		0.017634297
881.5		0.018221315
881		0.01957644
880.5		0.02019451
880		0.021338349
879.5		0.022669964
879		0.023663979
878.5		0.024545455
878		0.026772801
877.5		0.027945049
877		0.029540962
876.5		0.030615751
876		0.032624882
875.5		0.035334386
875		0.03659416
874.5		0.038258608
874		0.041126795
873.5		0.043667957
873		0.046696261
